Date,Regression (Sum of Yarra Glen-Warrandyte Interstation & Plenty 2 Mernda)
11/02/1897,101.3907
12/02/1897,96.58188
13/02/1897,92.18073
14/02/1897,88.13233
15/02/1897,84.40015
16/02/1897,80.95931
17/02/1897,77.78156
18/02/1897,74.73605
19/02/1897,71.97488
20/02/1897,84.76896
21/02/1897,92.39204
22/02/1897,84.71171
23/02/1897,81.22665
24/02/1897,75.79765
25/02/1897,103.9709
26/02/1897,111.7437
27/02/1897,96.88752
28/02/1897,115.4602
1/03/1897,81.67432
2/03/1897,76.02026
3/03/1897,73.24254
4/03/1897,70.98569
5/03/1897,70.35647
6/03/1897,88.66189
7/03/1897,93.80481
8/03/1897,98.40927
9/03/1897,138.6351
10/03/1897,154.3304
11/03/1897,135.6182
12/03/1897,114.2333
13/03/1897,107.984
14/03/1897,98.39149
15/03/1897,93.83549
16/03/1897,89.73902
17/03/1897,112.9512
18/03/1897,138.0844
19/03/1897,120.4663
20/03/1897,105.7896
21/03/1897,99.98343
22/03/1897,93.54524
23/03/1897,92.41796
24/03/1897,87.63543
25/03/1897,82.53021
26/03/1897,79.35797
27/03/1897,76.44672
28/03/1897,73.84804
29/03/1897,71.35705
30/03/1897,69.07002
31/03/1897,66.86766
1/04/1897,64.45769
2/04/1897,62.19084
3/04/1897,60.05448
4/04/1897,58.03979
5/04/1897,56.47208
6/04/1897,76.61486
7/04/1897,83.90637
8/04/1897,69.00586
9/04/1897,62.43225
10/04/1897,59.8389
11/04/1897,57.87266
12/04/1897,56.15324
13/04/1897,74.17651
14/04/1897,89.21327
15/04/1897,76.1342
16/04/1897,66.40162
17/04/1897,62.8244
18/04/1897,60.72061
19/04/1897,58.73689
20/04/1897,56.87405
21/04/1897,68.65251
22/04/1897,74.31659
23/04/1897,61.59399
24/04/1897,66.2666
25/04/1897,56.66084
26/04/1897,55.84151
27/04/1897,61.08419
28/04/1897,60.00632
29/04/1897,60.04117
30/04/1897,63.68314
1/05/1897,52.78823
2/05/1897,50.26525
3/05/1897,48.89022
4/05/1897,47.58131
5/05/1897,49.39824
6/05/1897,122.859
7/05/1897,170.107
8/05/1897,136.477
9/05/1897,103.4401
10/05/1897,89.87411
11/05/1897,85.82754
12/05/1897,82.7487
13/05/1897,79.90522
14/05/1897,77.2732
15/05/1897,74.83036
16/05/1897,72.55805
17/05/1897,97.83674
18/05/1897,109.0854
19/05/1897,109.2178
20/05/1897,115.7434
21/05/1897,99.01738
22/05/1897,94.14131
23/05/1897,86.50694
24/05/1897,85.8623
25/05/1897,83.98361
26/05/1897,99.83462
27/05/1897,152.3032
28/05/1897,172.7482
29/05/1897,151.6391
30/05/1897,123.7918
31/05/1897,114.8944
1/06/1897,109.7152
2/06/1897,105.0399
3/06/1897,100.8004
4/06/1897,96.93877
5/06/1897,93.40601
6/06/1897,90.16354
7/06/1897,87.17491
8/06/1897,84.41059
9/06/1897,81.84803
10/06/1897,79.83756
11/06/1897,77.69964
12/06/1897,75.60556
13/06/1897,73.64279
14/06/1897,71.80048
15/06/1897,70.06951
16/06/1897,68.43881
17/06/1897,66.84269
18/06/1897,65.1557
19/06/1897,71.36629
20/06/1897,95.78296
21/06/1897,100.8767
22/06/1897,96.2732
23/06/1897,75.81468
24/06/1897,79.05074
25/06/1897,125.5633
26/06/1897,170.1134
27/06/1897,184.2423
28/06/1897,155.3349
29/06/1897,126.793
30/06/1897,118.1962
1/07/1897,111.1198
2/07/1897,115.0547
3/07/1897,113.9135
4/07/1897,104.8638
5/07/1897,101.6645
6/07/1897,131.5988
7/07/1897,143.492
8/07/1897,123.8543
9/07/1897,116.5351
10/07/1897,139.9395
11/07/1897,156.3614
12/07/1897,328.14
13/07/1897,186.467
14/07/1897,163.4771
15/07/1897,155.6929
16/07/1897,143.8707
17/07/1897,141.3068
18/07/1897,159.054
19/07/1897,228.8474
20/07/1897,342.9916
21/07/1897,321.9359
22/07/1897,302.2975
23/07/1897,515.8954
24/07/1897,251.6227
25/07/1897,215.8635
26/07/1897,191.6175
27/07/1897,172.2017
28/07/1897,159.5176
29/07/1897,149.7755
30/07/1897,167.8781
31/07/1897,169.666
1/08/1897,181.6797
2/08/1897,240.0472
3/08/1897,206.5621
4/08/1897,176.724
5/08/1897,168.2197
6/08/1897,158.6572
7/08/1897,154.2257
8/08/1897,143.5006
9/08/1897,136.0514
10/08/1897,130.3056
11/08/1897,125.1664
12/08/1897,139.9929
13/08/1897,230.1109
14/08/1897,251.8051
15/08/1897,207.2806
16/08/1897,336.3807
17/08/1897,577.2787
18/08/1897,597.2624
19/08/1897,582.1675
20/08/1897,418.6746
21/08/1897,333.2953
22/08/1897,277.524
23/08/1897,243.4869
24/08/1897,216.896
25/08/1897,196.5916
26/08/1897,180.9898
27/08/1897,170.3899
28/08/1897,308.5619
29/08/1897,419.9123
30/08/1897,526.3646
31/08/1897,897.2933
1/09/1897,2629.324
2/09/1897,2869.756
3/09/1897,2144.219
4/09/1897,1825.544
5/09/1897,1018.209
6/09/1897,718.7111
7/09/1897,551.5502
8/09/1897,433.5528
9/09/1897,367.2117
10/09/1897,308.9527
11/09/1897,272.7996
12/09/1897,244.8237
13/09/1897,220.7212
14/09/1897,201.108
15/09/1897,184.8635
16/09/1897,173.9538
17/09/1897,164.6209
18/09/1897,202.2865
19/09/1897,208.8509
20/09/1897,169.5932
21/09/1897,161.3449
22/09/1897,170.4732
23/09/1897,169.1394
24/09/1897,153.9173
25/09/1897,154.9437
26/09/1897,138.5505
27/09/1897,174.4935
28/09/1897,271.0344
29/09/1897,327.7816
30/09/1897,354.9261
1/10/1897,363.5543
2/10/1897,319.2926
3/10/1897,268.2426
4/10/1897,239.1252
5/10/1897,254.0821
6/10/1897,261.2224
7/10/1897,220.8732
8/10/1897,234.2439
9/10/1897,223.1578
10/10/1897,202.2572
11/10/1897,208.1111
12/10/1897,221.9712
13/10/1897,214.6854
14/10/1897,178.1079
15/10/1897,168.3977
16/10/1897,157.1736
17/10/1897,148.7779
18/10/1897,141.6471
19/10/1897,173.0659
20/10/1897,180.308
21/10/1897,260.7163
22/10/1897,294.8648
23/10/1897,267.0244
24/10/1897,267.5262
25/10/1897,212.6287
26/10/1897,193.4042
27/10/1897,173.6854
28/10/1897,162.3664
29/10/1897,157.7786
30/10/1897,150.8225
31/10/1897,166.7003
1/11/1897,313.3102
2/11/1897,359.6725
3/11/1897,251.0051
4/11/1897,238.2561
5/11/1897,196.021
6/11/1897,175.7087
7/11/1897,162.9942
8/11/1897,152.5036
9/11/1897,143.2905
10/11/1897,135.0731
11/11/1897,127.6895
12/11/1897,122.0107
13/11/1897,116.3549
14/11/1897,111.328
15/11/1897,105.6441
16/11/1897,100.8228
17/11/1897,96.49082
18/11/1897,92.49182
19/11/1897,96.4493
20/11/1897,97.09792
21/11/1897,90.64995
22/11/1897,90.44602
23/11/1897,82.21135
24/11/1897,78.94559
25/11/1897,76.12099
26/11/1897,73.47797
27/11/1897,71.02919
28/11/1897,68.80828
29/11/1897,67.46062
30/11/1897,64.00784
1/12/1897,61.7058
2/12/1897,59.53786
3/12/1897,57.486
